Extracted features not found, loading raw features.
Iteration 12: Grad norm bound = 0.000063, time = 0.01s
Iteration 13: Grad norm bound = 0.000068, time = 0.01s
Iteration 14: Grad norm bound = 0.000076, time = 0.01s
Iteration 15: Grad norm bound = 0.000067, time = 0.01s
Iteration 16: Grad norm bound = 0.000057, time = 0.01s
Iteration 17: Grad norm bound = 0.000062, time = 0.01s
Iteration 18: Grad norm bound = 0.000053, time = 0.01s
Iteration 19: Grad norm bound = 0.000056, time = 0.01s
Iteration 20: Grad norm bound = 0.000076, time = 0.01s
Iteration 21: Grad norm bound = 0.000068, time = 0.01s
Iteration 22: Grad norm bound = 0.000069, time = 0.01s
Iteration 23: Grad norm bound = 0.000069, time = 0.01s
Iteration 24: Grad norm bound = 0.000062, time = 0.01s
Iteration 25: Grad norm bound = 0.000066, time = 0.01s
Iteration 26: Grad norm bound = 0.000060, time = 0.01s
Iteration 27: Grad norm bound = 0.000078, time = 0.01s
Iteration 28: Grad norm bound = 0.000064, time = 0.01s
Iteration 29: Grad norm bound = 0.000058, time = 0.01s
Iteration 30: Grad norm bound = 0.000063, time = 0.01s
Iteration 31: Grad norm bound = 0.000061, time = 0.01s
Iteration 32: Grad norm bound = 0.000073, time = 0.01s
Iteration 33: Grad norm bound = 0.000061, time = 0.01s
Iteration 34: Grad norm bound = 0.000057, time = 0.01s
Iteration 35: Grad norm bound = 0.000060, time = 0.01s
Iteration 36: Grad norm bound = 0.000057, time = 0.01s
Iteration 37: Grad norm bound = 0.000058, time = 0.01s
Iteration 38: Grad norm bound = 0.000063, time = 0.01s
Iteration 39: Grad norm bound = 0.000053, time = 0.01s
Iteration 40: Grad norm bound = 0.000055, time = 0.01s
Iteration 41: Grad norm bound = 0.000058, time = 0.01s
Iteration 42: Grad norm bound = 0.000064, time = 0.01s
Iteration 43: Grad norm bound = 0.000067, time = 0.01s
Iteration 44: Grad norm bound = 0.000056, time = 0.01s
Iteration 45: Grad norm bound = 0.000060, time = 0.01s
Iteration 46: Grad norm bound = 0.000061, time = 0.01s
Iteration 47: Grad norm bound = 0.000057, time = 0.01s
Iteration 48: Grad norm bound = 0.000069, time = 0.01s
Iteration 49: Grad norm bound = 0.000063, time = 0.01s
Iteration 50: Grad norm bound = 0.000060, time = 0.01s
Iteration 51: Grad norm bound = 0.000064, time = 0.01s
Iteration 52: Grad norm bound = 0.000052, time = 0.01s
Iteration 53: Grad norm bound = 0.000061, time = 0.01s
Iteration 54: Grad norm bound = 0.000063, time = 0.01s
Iteration 55: Grad norm bound = 0.000067, time = 0.01s
Iteration 56: Grad norm bound = 0.000058, time = 0.01s
Iteration 57: Grad norm bound = 0.000063, time = 0.01s
Iteration 58: Grad norm bound = 0.000057, time = 0.01s
Iteration 59: Grad norm bound = 0.000057, time = 0.01s
Iteration 60: Grad norm bound = 0.000066, time = 0.01s
Iteration 61: Grad norm bound = 0.000056, time = 0.01s
Iteration 62: Grad norm bound = 0.000068, time = 0.01s
Iteration 63: Grad norm bound = 0.000055, time = 0.01s
